observable,sintetico,base,PROV,timestamp,RADIO_REF_ID,DPTO,valor,frac
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6059,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6060,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6061,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6062,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6063,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6064,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6065,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6066,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6067,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6068,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6069,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6070,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6071,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6072,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6073,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6074,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6075,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6076,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6077,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6078,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,6079,6408,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10926,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10927,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10928,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10929,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10930,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10931,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10932,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10933,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10934,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10935,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10936,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10937,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10938,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10939,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10940,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10941,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10942,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10943,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10944,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10945,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10946,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10947,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10948,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10949,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10950,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10951,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10952,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10953,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10954,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10955,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10956,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10957,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10958,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10959,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10960,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10961,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10962,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10963,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10964,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10965,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10966,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10967,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10968,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10969,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10970,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10971,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10972,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10973,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10974,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10975,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10976,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10977,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10978,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10979,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10980,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10981,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10982,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10983,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10984,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10985,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10986,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10987,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10988,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10989,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10990,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10991,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10992,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10993,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10994,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10995,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10996,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10997,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10998,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,10999,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11000,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11001,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11002,6749,1.0,0.2
Total,mean,Personas,6,2022-08-16 19:41:37.322681,11003,6749,1.0,0.2
