Q,Region,CBA,CBT
2011-08-15,gran_buenos_aires,1378.7006946860658,3360.294046579583
2011-08-15,noreste,1232.3134666835895,2812.3086586179656
2011-08-15,noroeste,1197.6260682116501,2709.2776619254287
2011-08-15,pampeana,1366.315052509059,3329.35847026032
2011-08-15,patagonia,1422.6012923988649,3936.0183438954864
2011-11-15,cuyo,1227.5482336429511,3185.2961808902214
2011-11-15,gran_buenos_aires,1378.7006946860658,3360.294046579583
2011-11-15,noreste,1232.3134666835895,2812.3086586179656
2011-11-15,noroeste,1197.6260682116501,2709.2776619254287
2011-11-15,pampeana,1366.315052509059,3329.35847026032
2011-11-15,patagonia,1422.6012923988649,3936.0183438954864
2012-02-15,cuyo,1227.5482336429511,3185.2961808902214
2012-02-15,gran_buenos_aires,1378.7006946860658,3360.294046579583
2012-02-15,noreste,1232.3134666835895,2812.3086586179656
2012-02-15,noroeste,1197.6260682116501,2709.2776619254287
2012-02-15,pampeana,1366.315052509059,3329.35847026032
2012-02-15,patagonia,1422.6012923988649,3936.0183438954864
2012-05-15,cuyo,1227.5482336429511,3185.2961808902214
2012-05-15,gran_buenos_aires,1378.7006946860658,3360.294046579583
2012-05-15,noreste,1232.3134666835895,2812.3086586179656
2012-05-15,noroeste,1197.6260682116501,2709.2776619254287
2012-05-15,pampeana,1366.315052509059,3329.35847026032
2012-05-15,patagonia,1422.6012923988649,3936.0183438954864
2012-08-15,cuyo,1227.5482336429511,3185.2961808902214
2012-08-15,gran_buenos_aires,1378.7006946860658,3360.294046579583
2012-08-15,noreste,1232.3134666835895,2812.3086586179656
2012-08-15,noroeste,1197.6260682116501,2709.2776619254287
2012-08-15,pampeana,1366.315052509059,3329.35847026032
2012-08-15,patagonia,1422.6012923988649,3936.0183438954864
2012-11-15,cuyo,1227.5482336429511,3185.2961808902214
2012-11-15,gran_buenos_aires,1378.7006946860658,3360.294046579583
2012-11-15,noreste,1232.3134666835895,2812.3086586179656
2012-11-15,noroeste,1197.6260682116501,2709.2776619254287
2012-11-15,pampeana,1366.315052509059,3329.35847026032
2012-11-15,patagonia,1422.6012923988649,3936.0183438954864
2013-02-15,cuyo,1227.5482336429511,3185.2961808902214
2013-02-15,gran_buenos_aires,1378.7006946860658,3360.294046579583
2013-02-15,noreste,1232.3134666835895,2812.3086586179656
2013-02-15,noroeste,1197.6260682116501,2709.2776619254287
2013-02-15,pampeana,1366.315052509059,3329.35847026032
2013-02-15,patagonia,1422.6012923988649,3936.0183438954864
2013-05-15,cuyo,1227.5482336429511,3185.2961808902214
2013-05-15,gran_buenos_aires,1378.7006946860658,3360.294046579583
2013-05-15,noreste,1232.3134666835895,2812.3086586179656
2013-05-15,noroeste,1197.6260682116501,2709.2776619254287
2013-05-15,pampeana,1366.315052509059,3329.35847026032
2013-05-15,patagonia,1422.6012923988649,3936.0183438954864
2013-08-15,cuyo,1227.5482336429511,3185.2961808902214
2013-08-15,gran_buenos_aires,1378.7006946860658,3360.294046579583
2013-08-15,noreste,1232.3134666835895,2812.3086586179656
2013-08-15,noroeste,1197.6260682116501,2709.2776619254287
2013-08-15,pampeana,1366.315052509059,3329.35847026032
2013-08-15,patagonia,1422.6012923988649,3936.0183438954864
2013-11-15,cuyo,1227.5482336429511,3185.2961808902214
2013-11-15,gran_buenos_aires,1378.7006946860658,3360.294046579583
2013-11-15,noreste,1232.3134666835895,2812.3086586179656
2013-11-15,noroeste,1197.6260682116501,2709.2776619254287
2013-11-15,pampeana,1366.315052509059,3329.35847026032
2013-11-15,patagonia,1422.6012923988649,3936.0183438954864
2014-02-15,cuyo,1227.5482336429511,3185.2961808902214
2014-02-15,gran_buenos_aires,1378.7006946860658,3360.294046579583
2014-02-15,noreste,1232.3134666835895,2812.3086586179656
2014-02-15,noroeste,1197.6260682116501,2709.2776619254287
2014-02-15,pampeana,1366.315052509059,3329.35847026032
2014-02-15,patagonia,1422.6012923988649,3936.0183438954864
2014-05-15,cuyo,1227.5482336429511,3185.2961808902214
2014-05-15,gran_buenos_aires,1378.7006946860658,3360.294046579583
2014-05-15,noreste,1232.3134666835895,2812.3086586179656
2014-05-15,noroeste,1197.6260682116501,2709.2776619254287
2014-05-15,pampeana,1366.315052509059,3329.35847026032
2014-05-15,patagonia,1422.6012923988649,3936.0183438954864
2014-08-15,cuyo,1227.5482336429511,3185.2961808902214
2014-08-15,gran_buenos_aires,1378.7006946860658,3360.294046579583
2014-08-15,noreste,1232.3134666835895,2812.3086586179656
2014-08-15,noroeste,1197.6260682116501,2709.2776619254287
2014-08-15,pampeana,1366.315052509059,3329.35847026032
2014-08-15,patagonia,1422.6012923988649,3936.0183438954864
2014-11-15,cuyo,1227.5482336429511,3185.2961808902214
2014-11-15,gran_buenos_aires,1378.7006946860658,3360.294046579583
2014-11-15,noreste,1232.3134666835895,2812.3086586179656
2014-11-15,noroeste,1197.6260682116501,2709.2776619254287
2014-11-15,pampeana,1366.315052509059,3329.35847026032
2014-11-15,patagonia,1422.6012923988649,3936.0183438954864
2015-02-15,cuyo,1227.5482336429511,3185.2961808902214
2015-02-15,gran_buenos_aires,1378.7006946860658,3360.294046579583
2015-02-15,noreste,1232.3134666835895,2812.3086586179656
2015-02-15,noroeste,1197.6260682116501,2709.2776619254287
2015-02-15,pampeana,1366.315052509059,3329.35847026032
2015-02-15,patagonia,1422.6012923988649,3936.0183438954864
2015-05-15,cuyo,1227.5482336429511,3185.2961808902214
2015-05-15,gran_buenos_aires,1378.7006946860658,3360.294046579583
2015-05-15,noreste,1232.3134666835895,2812.3086586179656
2015-05-15,noroeste,1197.6260682116501,2709.2776619254287
2015-05-15,pampeana,1366.315052509059,3329.35847026032
2015-05-15,patagonia,1422.6012923988649,3936.0183438954864
2015-08-15,cuyo,1227.5482336429511,3185.2961808902214
2015-08-15,gran_buenos_aires,1378.7006946860658,3360.294046579583
2015-08-15,noreste,1232.3134666835895,2812.3086586179656
2015-08-15,noroeste,1197.6260682116501,2709.2776619254287
2015-08-15,pampeana,1366.315052509059,3329.35847026032
2015-08-15,patagonia,1422.6012923988649,3936.0183438954864
2015-11-15,cuyo,1227.5482336429511,3185.2961808902214
2015-11-15,gran_buenos_aires,1378.7006946860658,3360.294046579583
2015-11-15,noreste,1232.3134666835895,2812.3086586179656
2015-11-15,noroeste,1197.6260682116501,2709.2776619254287
2015-11-15,pampeana,1366.315052509059,3329.35847026032
2015-11-15,patagonia,1422.6012923988649,3936.0183438954864
2016-02-15,cuyo,1227.5482336429511,3185.2961808902214
2016-02-15,gran_buenos_aires,1378.7006946860658,3360.294046579583
2016-02-15,noreste,1232.3134666835895,2812.3086586179656
2016-02-15,noroeste,1197.6260682116501,2709.2776619254287
2016-02-15,pampeana,1366.315052509059,3329.35847026032
2016-02-15,patagonia,1422.6012923988649,3936.0183438954864
2016-05-15,cuyo,1207.588355126825,3135.6156745226813
2016-05-15,gran_buenos_aires,1347.9528975663015,3284.415299869173
2016-05-15,noreste,1213.9742041315612,2771.718440991723
2016-05-15,noroeste,1183.3120434288564,2678.0781956938413
2016-05-15,pampeana,1348.4837987471562,3285.7135765303024
2016-05-15,patagonia,1386.0124902643465,3834.531920855467
2016-08-15,cuyo,1229.2826025151555,3155.0798502967905
2016-08-15,gran_buenos_aires,1372.2387476147305,3302.451505526662
2016-08-15,noreste,1232.64368377748,2781.5826864873525
2016-08-15,noroeste,1199.3612356345818,2682.4991217775246
2016-08-15,pampeana,1365.6404948017207,3286.564673711961
2016-08-15,patagonia,1413.6795123161708,3863.9112646738035
2016-11-15,cuyo,1218.7762639354175,3128.1780242399273
2016-11-15,gran_buenos_aires,1363.0299390843595,3284.9021438441864
2016-11-15,noreste,1217.077966979815,2746.528169018978
2016-11-15,noroeste,1183.985935124965,2648.166160603049
2016-11-15,pampeana,1355.436318690613,3266.5994778666645
2016-11-15,patagonia,1407.3898548865072,3851.544926850711
2017-02-15,cuyo,1204.1530834409757,3106.715535426598
2017-02-15,gran_buenos_aires,1346.9529597325502,3264.1025361250977
2017-02-15,noreste,1198.8535334835517,2721.3897390631514
2017-02-15,noroeste,1162.561518784067,2615.7578953721736
2017-02-15,pampeana,1338.1823105578917,3242.8522138721128
2017-02-15,patagonia,1392.1061427700242,3828.281848515771
2017-05-15,cuyo,1196.5945476554732,3119.1078899694407
2017-05-15,gran_buenos_aires,1338.41254248083,3279.1110661480284
2017-05-15,noreste,1193.9857343855947,2738.1936268541576
2017-05-15,noroeste,1161.6240583846277,2640.751887243931
2017-05-15,pampeana,1328.0040990610712,3249.1664772389886
2017-05-15,patagonia,1378.4299214237792,3836.6099807385126
2017-08-15,cuyo,1189.3149502892836,3096.168983702922
2017-08-15,gran_buenos_aires,1332.6837515387967,3256.183329864276
2017-08-15,noreste,1183.8572879128258,2711.0142543324855
2017-08-15,noroeste,1157.005871898616,2626.377149006932
2017-08-15,pampeana,1322.7414744111054,3231.8821408204076
2017-08-15,patagonia,1366.7894929221718,3790.5523804793793
2017-11-15,cuyo,1188.1913801119656,3120.6201325062975
2017-11-15,gran_buenos_aires,1329.038288148432,3273.5346134142005
2017-11-15,noreste,1184.7408937099037,2736.510413850596
2017-11-15,noroeste,1157.65720617433,2650.758556930492
2017-11-15,pampeana,1323.6779473434283,3260.3293124141164
2017-11-15,patagonia,1370.0244120485324,3831.192294577164
2018-02-15,cuyo,1180.374792058997,3151.578610348519
2018-02-15,gran_buenos_aires,1320.2119124469245,3313.716081086055
2018-02-15,noreste,1177.989762401834,2768.265945454427
2018-02-15,noroeste,1149.7596220626501,2678.9342762012902
2018-02-15,pampeana,1313.9143447425033,3297.8906374085764
2018-02-15,patagonia,1365.0500951108263,3885.828105771902
2018-05-15,cuyo,1170.1801986229138,3143.420675460646
2018-05-15,gran_buenos_aires,1313.0982698174412,3317.266282062106
2018-05-15,noreste,1169.7024687339153,2764.028511739538
2018-05-15,noroeste,1136.665431040162,2663.236026684231
2018-05-15,pampeana,1298.3883238182136,3280.1286006627956
2018-05-15,patagonia,1352.5726893981926,3876.8396432522113
2018-08-15,cuyo,1200.917138353726,3182.4008434308694
2018-08-15,gran_buenos_aires,1340.3865720463907,3337.530941952225
2018-08-15,noreste,1198.2665006059754,2791.9302541525026
2018-08-15,noroeste,1170.1125479472855,2702.9408959361913
2018-08-15,pampeana,1329.2605896884013,3309.832552181895
2018-08-15,patagonia,1380.6786392628135,3902.679021247673
2018-11-15,cuyo,1234.6424033863123,3275.8721955928545
2018-11-15,gran_buenos_aires,1380.7284548335365,3442.577726864967
2018-11-15,noreste,1229.2243039711316,2868.1389503768496
2018-11-15,noroeste,1197.6209465117638,2770.44981531241
2018-11-15,pampeana,1368.035556808855,3410.929766651619
2018-11-15,patagonia,1422.7964986636405,4021.6726499665115
2019-02-15,cuyo,1231.4957655715314,3255.161598480965
2019-02-15,gran_buenos_aires,1385.254658190359,3439.9203686989836
2019-02-15,noreste,1228.294403429115,2857.7408496496405
2019-02-15,noroeste,1198.7695826267957,2765.05938574688
2019-02-15,pampeana,1371.5957718321806,3406.015727085274
2019-02-15,patagonia,1421.1961588375661,4012.422177514049
2019-05-15,cuyo,1207.8986195688847,3225.07382185323
2019-05-15,gran_buenos_aires,1363.7455698858241,3413.849036904679
2019-05-15,noreste,1207.4633255473052,2833.4956170521423
2019-05-15,noroeste,1181.556418868373,2745.105350719303
2019-05-15,pampeana,1345.2039145929323,3367.4368414140426
2019-05-15,patagonia,1393.0462652360968,3956.240239362327
2019-08-15,cuyo,1214.8827941769584,3227.5382600935122
2019-08-15,gran_buenos_aires,1366.3864990396025,3411.405240155806
2019-08-15,noreste,1221.454700974177,2854.1247428761603
2019-08-15,noroeste,1189.4436537421632,2755.5391785937736
2019-08-15,pampeana,1349.550475486796,3369.3725647387714
2019-08-15,patagonia,1414.3911038043316,4012.149279253706
2019-11-15,cuyo,1215.4810514450521,3233.095932937654
2019-11-15,gran_buenos_aires,1361.1651092162833,3402.828109472812
2019-11-15,noreste,1222.8724654058472,2861.4314064729547
2019-11-15,noroeste,1190.270919097465,2761.3381843971492
2019-11-15,pampeana,1350.1997042331852,3370.8611909615615
2019-11-15,patagonia,1416.1908759773323,4017.131821146902
2020-02-15,cuyo,1247.264465646198,3226.21628080003
2020-02-15,gran_buenos_aires,1401.2556674687903,3409.7073000660853
2020-02-15,noreste,1255.5043026062356,2858.3145000083437
2020-02-15,noroeste,1216.8090572485073,2745.8905971508575
2020-02-15,pampeana,1390.1227026805439,3382.580181350497
2020-02-15,patagonia,1455.7175540074302,4017.7013937615698
2020-05-15,cuyo,1246.5717269254699,3195.185738251316
2020-05-15,gran_buenos_aires,1409.3221923081364,3391.5220477198545
2020-05-15,noreste,1255.4626820975527,2828.788200467849
2020-05-15,noroeste,1224.5014909108904,2734.5476255089447
2020-05-15,pampeana,1390.7562831035527,3346.833879293345
2020-05-15,patagonia,1450.712231445964,3969.822690218685
2020-08-15,cuyo,1232.5880719007725,3188.318729181356
2020-08-15,gran_buenos_aires,1395.233356831852,3385.779008849176
2020-08-15,noreste,1246.9573899157674,2838.920786561723
2020-08-15,noroeste,1211.814442639243,2734.6803604706206
2020-08-15,pampeana,1375.038147276203,3336.7814878411154
2020-08-15,patagonia,1442.6353369518565,3976.8756782973373
2020-11-15,cuyo,1295.198799001068,3307.066462763574
2020-11-15,gran_buenos_aires,1457.6348000961996,3498.25830056222
2020-11-15,noreste,1305.5022346390808,2933.0014096231785
2020-11-15,noroeste,1266.7535606652934,2820.642294088538
2020-11-15,pampeana,1447.4849452276546,3473.926076798912
2020-11-15,patagonia,1516.6655619063422,4130.330831427885
2021-02-15,cuyo,1297.933922532964,3270.786476556403
2021-02-15,gran_buenos_aires,1468.450545656583,3480.221310296925
2021-02-15,noreste,1319.0550570433352,2923.906534444482
2021-02-15,noroeste,1263.773860433024,2776.092840709423
2021-02-15,pampeana,1452.3675576426633,3442.1122609512954
2021-02-15,patagonia,1529.7139371825415,4114.923733769379
2021-05-15,cuyo,1289.477711361133,3223.7074913107867
2021-05-15,gran_buenos_aires,1466.4031247658656,3446.064526845156
2021-05-15,noreste,1314.1657821345834,2891.1858417216113
2021-05-15,noroeste,1263.9185963249822,2755.3522845656134
2021-05-15,pampeana,1440.2034616244719,3384.5039689573478
2021-05-15,patagonia,1506.765576526932,4023.1123207052656
2021-08-15,cuyo,1273.4727651362089,3170.8747535377775
2021-08-15,gran_buenos_aires,1437.1141745442612,3362.739188621077
2021-08-15,noreste,1290.037398104763,2825.093436464724
2021-08-15,noroeste,1246.734357847665,2705.34015695189
2021-08-15,pampeana,1418.8897894136473,3310.638306757925
2021-08-15,patagonia,1475.773146578431,3915.5992042693492
2021-11-15,cuyo,1261.3279650245931,3124.028199210945
2021-11-15,gran_buenos_aires,1413.4159444654658,3288.677106380683
2021-11-15,noreste,1276.123651731209,2777.794830548657
2021-11-15,noroeste,1231.3872114716505,2655.847984619759
2021-11-15,pampeana,1402.0681959235546,3262.2929004778184
2021-11-15,patagonia,1461.4922276520601,3858.4685029406664
2022-02-15,cuyo,1227.5482336429511,3185.2961808902214
2022-02-15,gran_buenos_aires,1378.7006946860658,3360.294046579583
2022-02-15,noreste,1232.3134666835895,2812.3086586179656
